,id,permalink,username,author_id,text,date,formatted_date,to,retweets,favorites,replies,mentions,hashtags,urls,geo
0,1191141569149198336,https://twitter.com/yoavkaufman/status/1191141569149198336,yoavkaufman,17877490,Thanks. I think working from home would be a big challenge for me. I need to get out of the house everyday.,2019-11-03 23:54:15+00:00,Sun Nov 03 23:54:15 +0000 2019,jonathanross,0,1,1,,,,
1,1191141525532631042,https://twitter.com/QContrarian/status/1191141525532631042,QContrarian,1109441086097899520,The market is going to give #Aramco the #WeWork treatment!! #investment #investing #stocks #SaudiArabia,2019-11-03 23:54:04+00:00,Sun Nov 03 23:54:04 +0000 2019,levie,0,1,1,,#Aramco #WeWork #investment #investing #stocks #SaudiArabia,,
2,1191141243780096000,https://twitter.com/Lulcille/status/1191141243780096000,Lulcille,80935613,Make wework video...,2019-11-03 23:52:57+00:00,Sun Nov 03 23:52:57 +0000 2019,MisterAntiBully,0,2,2,,,,
3,1191140370735927296,https://twitter.com/QContrarian/status/1191140370735927296,QContrarian,1109441086097899520,"IMO, SoftBank is going to be horrifying (that's me being generous). The #wework losses the $UBER losses the Vision Fund losses. Going to be a bad day for Masa Son. #investment #investing #stocks #bonds #economy #Japan",2019-11-03 23:49:29+00:00,Sun Nov 03 23:49:29 +0000 2019,shesa_sec,0,1,1,,#wework #investment #investing #stocks #bonds #economy #Japan,,
4,1191139735084978176,https://twitter.com/gerrydonohue/status/1191139735084978176,gerrydonohue,83631761,"WeWork exposes gig economy, Airbnb scam, LAX Uber whining, NYC delivery mess, Deadspin solidarity, & more! by @parismarxhttps://radicalurbanist.substack.com/p/wework-exposes-gig-economy-airbnb?utm_campaign=post&utm_medium=email&utm_source=twitter …",2019-11-03 23:46:57+00:00,Sun Nov 03 23:46:57 +0000 2019,,2,4,4,@parismarxhttps,,https://radicalurbanist.substack.com/p/wework-exposes-gig-economy-airbnb?utm_campaign=post&utm_medium=email&utm_source=twitter,
5,1191138634033852416,https://twitter.com/tric0s/status/1191138634033852416,tric0s,295356864,satan’s children em WeWork Paulista 1374 https://www.instagram.com/p/B4bA_2SHjfU/?igshid=vys3qk9axt91 …,2019-11-03 23:42:35+00:00,Sun Nov 03 23:42:35 +0000 2019,,0,0,0,,,https://www.instagram.com/p/B4bA_2SHjfU/?igshid=vys3qk9axt91,
6,1191138028414066689,https://twitter.com/kenmamimami/status/1191138028414066689,kenmamimami,108154371,WeWork先代と一緒。,2019-11-03 23:40:10+00:00,Sun Nov 03 23:40:10 +0000 2019,buffett_code,0,0,0,,,,
7,1191137365173010434,https://twitter.com/BebepandaML/status/1191137365173010434,BebepandaML,1044528630053916672,"Le Carnage WeWork, 1er épisode de notre nouveau podcast Silicon Carne avec Carlos Diaz http://dlvr.it/RHYCR6 pic.twitter.com/ykoCZ032ag",2019-11-03 23:37:32+00:00,Sun Nov 03 23:37:32 +0000 2019,,0,0,0,,,http://dlvr.it/RHYCR6,
8,1191134169419730944,https://twitter.com/mjsamman/status/1191134169419730944,mjsamman,57969968,"سؤال: هل تدخل ""جاريد كوشنر"" صهر ومستشار الرئيس ترامب لإقناع «شركاء وممولي» رئيس سوفت بنك ""ماسايوشي سون"" بالاستثمار في شركة ""وي وورك"" الفاسدة الفاشلة المفلسة التي أسسها ""آدم نيومان"" صديق كوشنر المقرب؟!! يبدو أنه قرار استثمار سياسي لتحقيق مصالح مشتركة!!!https://www.businessinsider.com/adam-and-rebekah-neumanns-ties-to-jared-kushner-and-ivanka-trump-2019-9 …",2019-11-03 23:24:50+00:00,Sun Nov 03 23:24:50 +0000 2019,,10,5,5,,,https://www.businessinsider.com/adam-and-rebekah-neumanns-ties-to-jared-kushner-and-ivanka-trump-2019-9,
9,1191134123181715457,https://twitter.com/stobaxov/status/1191134123181715457,stobaxov,282783685,"#trade WeWork Isn't the Only Wreck Hiding in Your Portfolio (Bloomberg Opinion) -- Look inside your mutual fund: WeWork isn’t the only unicorn with a valuation so slippery that it’s worth $47 billion one day and $0 the next. Back in June 2015, fund managers from Fidelity In…",2019-11-03 23:24:39+00:00,Sun Nov 03 23:24:39 +0000 2019,,0,0,0,,#trade,,
10,1191133569663590401,https://twitter.com/jonathanross/status/1191133569663590401,jonathanross,9618202,"I'm not a renter. I have been at several events hosted by companies who work out of WeWork offices. The obvious advantage though is no dishes, laundry, home chores. I have worked from home and it's a challenge for the family.",2019-11-03 23:22:27+00:00,Sun Nov 03 23:22:27 +0000 2019,yoavkaufman,0,1,1,,,,
11,1191133553171615745,https://twitter.com/newsnet___/status/1191133553171615745,newsnet___,965866288538181632,McDonald's CEO is just one of many executives to be ousted from the top job McDonald's and WeWork are just two of the companies whose CEOs have been ousted recently in the wake of financial losses or scandal. https://ift.tt/2NcNbSP http://bit.ly/2JLArD4,2019-11-03 23:22:23+00:00,Sun Nov 03 23:22:23 +0000 2019,,0,0,0,,,"https://ift.tt/2NcNbSP,http://bit.ly/2JLArD4",
12,1191133451543465984,https://twitter.com/ec_anderson/status/1191133451543465984,ec_anderson,32520177,No fundamentally new technologies in Uber/WeWork etc. Stakeholders “lose” b/c of misplaced value creation expectations. biz model innovation aka “financial engineering” is a far weaker return driver than returns from new tech & capabilities brought to market. https://twitter.com/tomfgoodwin/status/1191009097468043269 …,2019-11-03 23:21:59+00:00,Sun Nov 03 23:21:59 +0000 2019,tomfgoodwin,0,0,0,,,https://twitter.com/tomfgoodwin/status/1191009097468043269,
13,1191131696449675264,https://twitter.com/finzine/status/1191131696449675264,finzine,748817972970463232,$UBER $BLK WeWork Isn't the Only Wreck Hiding in Your Portfolio via http://www.hvper.com/?ref=s,2019-11-03 23:15:01+00:00,Sun Nov 03 23:15:01 +0000 2019,,0,0,0,,,http://www.hvper.com/?ref=s,
14,1191131682558140419,https://twitter.com/BharambePB/status/1191131682558140419,BharambePB,3288397593,Must read. How WeWork founder Adam Neumann failed up http://www.ecoti.in/DYk7Ua via @economictimes,2019-11-03 23:14:57+00:00,Sun Nov 03 23:14:57 +0000 2019,,0,0,0,@economictimes,,http://www.ecoti.in/DYk7Ua,
15,1191130934017314817,https://twitter.com/accidentalflyer/status/1191130934017314817,accidentalflyer,15818403,The WeWork flame out probably the best thing that has happened to the tech startups industry in years. Once in awhile the industry needs to be cleansed of fools and charlatans.,2019-11-03 23:11:59+00:00,Sun Nov 03 23:11:59 +0000 2019,ReformedBroker,1,11,11,,,,
16,1191130684418646016,https://twitter.com/LDrogen/status/1191130684418646016,LDrogen,19079480,"i can't find the old articles from a few years back, but basically Plank is an investor in WeWork, and he owns a bunch of buildings that were being leased to WeWork. Also, he's done this before https://www.inc.com/will-yakowicz/under-armour-kevin-plank-73-million.html …",2019-11-03 23:10:59+00:00,Sun Nov 03 23:10:59 +0000 2019,EghosaO,1,1,1,,,https://www.inc.com/will-yakowicz/under-armour-kevin-plank-73-million.html,
17,1191130440679211009,https://twitter.com/techjunkiejh/status/1191130440679211009,techjunkiejh,3064266184,Details that were wrong or omitted from its financial disclosures may have soured investors. https://on.wsj.com/30Z9EGw #WeWork #TechJunkieNewspic.twitter.com/S2TZ6fFIrQ,2019-11-03 23:10:01+00:00,Sun Nov 03 23:10:01 +0000 2019,,0,0,0,,#WeWork #TechJunkieNewspic,https://on.wsj.com/30Z9EGw,
